기준연월,SGG_ID,행정구역별,전월대비방문인구증감률,코드분류,인구감소소멸지역코드,티맵_자연관광지_검색건수,티맵_역사관광지_검색건수,티맵_휴양관광지_검색건수,티맵_공연_행사_검색건수,티맵_문화시설_검색건수,티맵_레포츠(육상해상항공)_검색건수,티맵_쇼핑_검색건수,티맵_식음료_검색건수,티맵_숙박_검색건수,티맵_기타관광지_검색건수,비씨카드_내국인_소비금액,비씨카드_외국인_소비금액,비씨카드_거주민_소비금액,외국인관광객수_무박,외국인관광객수_1박,외국인관광객수_2박,외국인관광객수_3박이상,외지인관광객수_무박,외지인관광객수_1박,외지인관광객수_2박,외지인관광객수_3박이상,남녀성비,전입인구,전출인구,순이동인구,고령인구비율,혼인건수,이혼건수,주민등록인구,지가변동률
201802,11110,서울특별시 종로구,16.40932,0,0,5152,17226,1254,12470,20568,165,19912,55380,19551,12139,127561590660,6566713366,6896045697,184377.3,6471.63,7765.056,20532.86,8694098,221133.5,67207,163156,96.2,"2,567","2,641",-74,16.9,22,55,154509,0.454
201802,11140,서울특별시 중구,18.09909,0,0,3717,2947,,15085,4124,259,61895,47963,74601,7966,860575245607,126016044371,10609685397,446787.3,33497.36,43167.39,94699.98,8788525,201320,61481,123739,98,"2,119","1,947",172,16.9,20,59,125945,0.377
201802,11170,서울특별시 용산구,9.17648,0,0,2115,281,180,24249,26391,349,7588,62416,23506,11620,130875592754,4392776250,11025580094,100950.8,6271.171,5286.17,13942.45,6654666,223909,54831,143185,93.8,"3,583","3,341",242,16.0,41,104,229770,0.837
201802,11200,서울특별시 성동구,12.07551,0,0,5403,166,51,3933,1343,237,8811,30598,1383,1893,26932120049,113249540,11794905701,14696.42,1164.407,897.2934,3757.74,3153458,173572,60886,179357.5,97.1,"4,560","4,361",199,13.6,36,154,305200,0.432
201802,11215,서울특별시 광진구,9.395173,0,0,2236,1468,9485,6390,1903,1521,8782,33852,18073,1686,27989017562,3632804422,19235432922,21252.16,1705.254,1534.24,4011.5,4659967,233681,69475,211046.5,95.1,"5,321","5,471",-150,12.3,33,174,357700,0.408
201802,11230,서울특별시 동대문구,9.535435,0,0,1195,515,272,1228,576,447,12696,23987,7460,1572,27637881843,89212690,16115498226,23387.89,3511.201,3944.615,10146.82,3456380,214095,78085,220909.5,99.8,"4,885","5,068",-183,16.0,51,135,349901,0.282
201802,11260,서울특별시 중랑구,12.15118,0,0,1568,295,95,2706,75,532,5055,16654,1259,1012,17748688575,8802000,18954021233,4256.458,445.6393,346.876,1310.421,2341003,162816.5,58198,160258,99.2,"4,150","4,757",-607,14.6,76,174,407137,0.281
201802,11290,서울특별시 성북구,9.606298,0,0,2007,6014,12,1265,904,1492,3397,27028,2179,2186,19311780095,32153400,17859360042,13187.93,1718.419,1381.159,5583.523,2979753,213811.5,84455,248741.5,95,"5,843","6,306",-463,15.0,66,135,442827,0.399
201802,11305,서울특별시 강북구,10.40993,0,0,3946,5921,437,2351,103,425,4669,14464,2282,978,14933090017,3526580,13580942912,4602.593,736.2118,731.1345,1931.921,2069981,167181,54488,146660.5,95.9,"3,223","3,472",-249,17.5,54,83,324008,0.258
201802,11320,서울특별시 도봉구,8.653888,0,0,846,844,206,566,806,816,4597,13309,1005,1125,13498678374,8000,13925437736,2204.668,272.811,195.1819,725.2781,1776268,123165,46648,120652,96.1,"2,994","3,432",-438,15.7,58,123,343407,0.218
